url,comment_user,comment_user_url,comment_date,comment,likes_number,replies_number,replies,hashtag_comment,tagged_users_in_comment,post_url,post_user,comment_id,post_id,VADER_Sentiment,TextBlob_Sentiment
https://www.instagram.com/badespi_,fab███vf,https://www.instagram.com/fabiacvf,2024-11-13T20:01:57.000Z,👏👏👏,1,1,"[{""likes_number"":1,""reply"":""@fabiacvf 👏👏👏"",""reply_date"":""2024-11-14T12:38:40.000Z"",""reply_user"":""bad███i_""}]",,,https://www.instagram.com/p/DCUcCAHvEli,bad███i_,1.79503E+16,3.50055E+18,Neutral,Neutral
https://www.instagram.com/badespi_,des███opi███,https://www.instagram.com/destinopiaui,2024-11-13T17:11:39.000Z,😍😍😍,1,1,"[{""likes_number"":0,""reply"":""@destinopiaui 😍👏👏"",""reply_date"":""2024-11-13T19:08:22.000Z"",""reply_user"":""bad███i_""}]",,,https://www.instagram.com/p/DCUcCAHvEli,bad███i_,1.78987E+16,3.50055E+18,Neutral,Neutral
https://www.instagram.com/cojuvpiaui,mar███osb███,https://www.instagram.com/marciaosb16,2024-11-13T23:00:46.000Z,"Meu querido @euwanderson7  que  foi nosso delegado representando o nosso estado e o Vale do Sambito, Novo Oriente do Piauí.",1,1,"[{""likes_number"":0,""reply"":""@marciaosb16 ❤️🫶🥰"",""reply_date"":""2024-11-13T23:31:59.000Z"",""reply_user"":""euw███ers███""}]",,"[""@eu███der███7""]",https://www.instagram.com/p/DCT93_2p7bG,coj███iau███,1.80619E+16,3.50041E+18,Neutral,Neutral
https://www.instagram.com/gamilpiaui,tic███cau███,https://www.instagram.com/ticimacauff,2024-11-14T00:16:19.000Z,"Com o professor Matheus Carvalho, realmente  sensacional 👏👏👏👏",3,1,"[{""likes_number"":0,""reply"":""👏👏🤝🤝"",""reply_date"":""2024-11-14T02:54:24.000Z"",""reply_user"":""esc███deg███rno█████████""}]",,,https://www.instagram.com/p/DCUhYQ4Pn2y,gam███iau███,1.79117E+16,3.50057E+18,Neutral,Neutral
https://www.instagram.com/agespisa.oficial,bru███nca███cao███,https://www.instagram.com/brunoencarnacao,2024-11-14T17:33:11.000Z,"@rafael.fonteles todo ano é isso. O único município na América do Sul, que fica sem água quando a água chega. Os cidadãos já não aguentam mais. Vai resolver isso quando? Delega alguém pra RESOLVER esse problema, meu camarada. Não existe isso, com orçamento que tem, 6 dias sem água. Vocês não resolvem pq não querem.",1,1,"[{""likes_number"":1,""reply"":""Nós não merecemos isso! Corrente não merece isso!"",""reply_date"":""2024-11-14T17:33:38.000Z"",""reply_user"":""bru███nca███cao███""}]",,"[""@ra███l""]",https://www.instagram.com/p/DCRWettOTUB,age███sa.███cia███,1.8023E+16,3.49968E+18,Positive,Neutral
https://www.instagram.com/setur_pi,flo███ser███tur██████,https://www.instagram.com/flordosertaoturismo,2024-11-13T21:58:18.000Z,👏❤️,2,1,"[{""likes_number"":0,""reply"":""@flordosertaoturismo obrigado 🙏"",""reply_date"":""2024-11-13T22:58:07.000Z"",""reply_user"":""zen███mon███roo███""}]",,,https://www.instagram.com/p/DCU1p1avATm,set███pi,1.80622E+16,3.50066E+18,Neutral,Neutral
https://www.instagram.com/setur_pi,joa███nge███eju██████,https://www.instagram.com/joao_angelinejunior,2024-11-13T21:01:24.000Z,👏👏👏,2,1,"[{""likes_number"":1,""reply"":""@joao_angelinejunior vamo junto amigo 👏"",""reply_date"":""2024-11-13T22:58:13.000Z"",""reply_user"":""zen███mon███roo███""}]",,,https://www.instagram.com/p/DCU1p1avATm,set███pi,1.78976E+16,3.50066E+18,Neutral,Neutral
https://www.instagram.com/adapi_pi,rod███ues███mun█████████,https://www.instagram.com/rodriguesraimunda_2005,2024-11-08T17:40:04.000Z,"Ovinos, bubalinos , bovinos, equinos",1,1,"[{""likes_number"":1,""reply"":""@rodriguesraimunda_2005 👏"",""reply_date"":""2024-11-08T17:54:22.000Z"",""reply_user"":""ada███pi""}]",,,https://www.instagram.com/p/DCHnjZDyJQN,ada███pi,1.78856E+16,3.49694E+18,Neutral,Neutral
https://www.instagram.com/adapi_pi,juv███iol███58,https://www.instagram.com/juvenciolima58,2024-11-14T21:40:56.000Z,O cadastro é grátis ou paga taxa?,1,2,"[{""likes_number"":0,""reply"":""@juvenciolima58 boa noite Juvêncio. Tanto o cadastro como  a atualização que começou dia 1/11 e vai até 21/12 são serviços sem custos ao produtor."",""reply_date"":""2024-11-14T21:55:13.000Z"",""reply_user"":""ada███pi""},{""likes_number"":1,""reply"":""@adapi_pi muito obrigado"",""reply_date"":""2024-11-14T22:05:55.000Z"",""reply_user"":""juv███iol███58""}]",,,https://www.instagram.com/p/DCHUswoudN6,ada███pi,1.80582E+16,3.49685E+18,Neutral,Neutral
https://www.instagram.com/sascpiaui,dra███sic███eve███,https://www.instagram.com/drajessicanneves,2024-11-12T01:20:16.000Z,Orgulho dessa arquiteta genial que está a frente desse projeto de construção! @marinabsant,1,1,"[{""likes_number"":0,""reply"":""@drajessicanneves 😍"",""reply_date"":""2024-11-12T02:10:32.000Z"",""reply_user"":""mar███bsa███""}]",,"[""@ma███abs███""]",https://www.instagram.com/p/DCPCS15vXCj,sas███aui███,1.80117E+16,3.49903E+18,Positive,Neutral
https://www.instagram.com/defensoriapiaui,kar███aan███de,https://www.instagram.com/karla.aandrade,2024-11-08T00:03:03.000Z,"Ficou muito linda, e a inauguração foi emocionante!👏👏👏",3,1,"[{""likes_number"":1,""reply"":""@karla.aandrade  tudo muito lindo e muito emocionante mesmo !!! Digno da Defensoria !!!❤️❤️"",""reply_date"":""2024-11-08T01:18:54.000Z"",""reply_user"":""a_d███a_a███""}]",,,https://www.instagram.com/p/DCE5ylEPsav,def███ori███aui███,1.82513E+16,3.49617E+18,Neutral,Neutral
https://www.instagram.com/cendfolpiaui,edn███ma_███a,https://www.instagram.com/ednaelma_lima,2024-11-05T21:05:51.000Z,Foi enriquecedor 👏🏻👏🏻👏🏻,2,1,"[{""likes_number"":0,""reply"":""@ednaelma_lima 👏👏"",""reply_date"":""2024-11-05T21:14:35.000Z"",""reply_user"":""luz███tel███bar██████""}]",,,https://www.instagram.com/p/DCAJSsFPKdg,cen███lpi███,1.82597E+16,3.49483E+18,Neutral,Neutral
https://www.instagram.com/badespi_,val███ecl███nti███,https://www.instagram.com/valdeneclementino,2024-11-03T09:02:47.000Z,👍👍👏👏,1,1,"[{""likes_number"":0,""reply"":""@valdeneclementino 👏👏"",""reply_date"":""2024-11-04T21:30:19.000Z"",""reply_user"":""bad███i_""}]",,,https://www.instagram.com/p/DB4FOZqvGOt,bad███i_,1.78914E+16,3.49256E+18,Neutral,Neutral
https://www.instagram.com/iaspi.pi,mar███i.o███,https://www.instagram.com/marvini.oli,2024-10-30T16:07:16.000Z,"Pura propaganda mentirosa, tem médico sendo bloqueado pq pede exames para o paciente, aí fica 45 dias o médico bloqueado e o segurado sem atendimento, uma das piores gestão.",1,1,"[{""likes_number"":0,""reply"":""@marvini.oli  pois é! Eu não sei onde são feitos esses atendimentos, pq tentei neuro e endócrino para minha filha e não consegui.  Tentei endócrino, pra mim e estava suspenso. Tentei cardio  ao tinha vaga e ginecologista, agendei em setembro somente para novembro.  Queria era saber onde são essas clínicas , pq acho que estou me direcionando para as erradas.  Sem falar no site, que está totalmente desatualizado."",""reply_date"":""2024-10-30T18:46:31.000Z"",""reply_user"":""ire███_ir███_""}]",,,https://www.instagram.com/p/DBwL4hQu2_h,ias███pi,1.81201E+16,3.49034E+18,Negative,Negative
https://www.instagram.com/seid.pi,reg███_ma███a_b███,https://www.instagram.com/regina_marcia_b,2024-10-30T20:42:54.000Z,Onde posso tira passe livre cultural e quais documentos pq ligamos e ninguém atende,1,4,"[{""likes_number"":0,""reply"":""@regina_marcia_b vamos te passar os documentos no direct"",""reply_date"":""2024-10-31T12:54:38.000Z"",""reply_user"":""sei███i""},{""likes_number"":0,""reply"":""@regina_marcia_b aguardo"",""reply_date"":""2024-10-31T13:40:03.000Z"",""reply_user"":""reg███_ma███a_b███""},{""likes_number"":0,""reply"":""@seid.pi fui no crás lá disseram que só faz passe livre intermunicipal e outra se nem ônibus tem detalhe tem que ir no postinho e pega um laudo no lineu só querem de lá credo viu tudo botam dificuldade pra ProBe"",""reply_date"":""2024-10-31T13:42:22.000Z"",""reply_user"":""reg███_ma███a_b███""}]",,,https://www.instagram.com/p/DBt905KJ-sE,sei███i,1.82536E+16,3.48972E+18,Neutral,Positive
https://www.instagram.com/setur_pi,eli███ago███,https://www.instagram.com/elinegagomes,2024-11-13T22:50:47.000Z,😍👏👏,2,1,"[{""likes_number"":0,""reply"":""@elinegagomes obrigado 🙏"",""reply_date"":""2024-11-13T22:57:33.000Z"",""reply_user"":""zen███mon███roo███""}]",,,https://www.instagram.com/p/DCVBA_RPnlf,set███pi,1.8019E+16,3.50071E+18,Neutral,Neutral
https://www.instagram.com/setur_pi,apr███rdo███ui,https://www.instagram.com/aprumardopiaui,2024-10-26T13:46:39.000Z,Queremos uns exemplares pra distribuir em nossa loja 😍,1,1,"[{""likes_number"":0,""reply"":""@aprumardopiaui 😍😍😍 divulgando nosso Piauí!"",""reply_date"":""2024-10-27T17:51:04.000Z"",""reply_user"":""set███pi""}]",,,https://www.instagram.com/p/DBkOxuSviG-,set███pi,1.81384E+16,3.48698E+18,Neutral,Neutral
https://www.instagram.com/cojuvpiaui,ann███lyc███alh███,https://www.instagram.com/annyellycarvalho,2024-11-13T13:12:02.000Z,👏👏👏,1,1,"[{""likes_number"":0,""reply"":""@annyellycarvalho 😍👏"",""reply_date"":""2024-11-13T13:35:41.000Z"",""reply_user"":""coj███iau███""}]",,,https://www.instagram.com/p/DCT93_2p7bG,coj███iau███,1.8247E+16,3.50041E+18,Neutral,Neutral
https://www.instagram.com/setur_pi,glo███haa███,https://www.instagram.com/glorinhaapsi,2024-11-13T20:54:53.000Z,👏👏👏👏👏,2,1,"[{""likes_number"":0,""reply"":""@glorinhaapsi obrigado 🙏"",""reply_date"":""2024-11-13T22:58:18.000Z"",""reply_user"":""zen███mon███roo███""}]",,,https://www.instagram.com/p/DCU1p1avATm,set███pi,1.8121E+16,3.50066E+18,Neutral,Neutral
https://www.instagram.com/defesacivilpi,mat███us_███ian███,https://www.instagram.com/matthaus_mariano,2024-11-07T23:44:05.000Z,Muito feliz em fazer parte dessa equipe ❤️🤗,1,1,"[{""likes_number"":0,""reply"":""👏👏👏🫂🫂"",""reply_date"":""2024-11-07T23:46:18.000Z"",""reply_user"":""esc███deg███rno█████████""}]",,,https://www.instagram.com/p/DCFfCeyPB_f,def███civ███i,1.7881E+16,3.49634E+18,Neutral,Neutral
